Country_of_Operator,Operator_Owner,Purpose,Type_of_Orbit,Perigee_km,Apogee_km,Eccentricity,Period_minutes,Launch_Mass_kg,Dry_Mass_kg,Power_watts,Anticipated_Lifetime,Contractor,Country_of_Contractor,Launch_Site,Launch_Vehicle,longitude_radians_of_geo,Inclination_radians,military,geo_orbit
Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Communications,,35764.0,35808.0,0.0005200000000000000,1436.08,3460.0,1555.0,7000.0,15.0,EADS Astrium,France,Guiana Space Center,Ariane 5,0.837758041,0.002094395,FALSE,TRUE
Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Communications,,35784.0,35787.0,4E-05,1436.06,1450.0,650.0,1200.0,12.2,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,0.803375055,0.019547688,FALSE,TRUE
USA,1Worldspace,Communications,,35770.0,35802.0,0.00038000000000000000,1436.09,2704.0,1530.0,5500.0,15.0,Matra Marconi Space-France,France,Guiana Space Center,Ariane 44L,0.365995544,0.000523599,FALSE,TRUE
International,Asia Broadcast Satellite,Communications,,35769.0,35802.0,0.00039,1436.07,3775.0,1800.0,9000.0,15.0,Space Systems/Loral,USA,Xichang Satellite Launch Center,Long March CZ3B,2.549227905,0.000872665,FALSE,TRUE
Italy,Italian Space Agency,Scientific Research,,510.0,534.0,0.0017400000000000000,95.1,325.0,,,3.0,CarloGavazziSpace,Italy,Satish Dhawan Space Center,PSLV C8,,0.043633231000000000,FALSE,FALSE
USA,"Center for Atmospheric Sciences, Hampton University/NASA",Earth Science,,570.0,583.0,0.0009400000000000000,96.2,215.0,197.0,216.0,2.0,Orbital Sciences Corp.,USA,Vandenberg AFB,Pegasus XL,,1.7069320080000000,FALSE,FALSE
Norway,Kongsberg Satellite Services (KSAT),Maritime Tracking/Technology Development,Sun-Synchronous,615.0,632.0,0.00122,97.2,6.0,,,3.0,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Canada,Sriharikota Launch Station,PSLV,,1.7104226670000000,FALSE,FALSE
Russia,"Samara State Aerospace University, SGAU",Technology Development,,599.0,626.0,0.00193,96.9,,,,,TsSKB Progress,Russia,Plesetsk Cosmodrome,Soyuz 2-1B,,1.438151304,FALSE,FALSE
Russia,"Samara State Aerospace University, SGAU",Technology Development,,558.0,582.0,0.00173,96.06,53.0,,,3.0,"Samara State Aerospace University, SGAU",Russia,Baikonur Cosmodrome,Soyuz 2-1A,,1.132369619,FALSE,FALSE
Japan,"Institute of Space and Aeronautical Science, University of Tokyo",Space Physics,,264.0,5732.0,0.29184,150.4,,294.0,270.0,1.0,"Institute of Space and Aeronautical Science, University of Tokyo",Japan,Uchinoura Space Center,Mu 3S2,,1.310742268,FALSE,FALSE
USA,US Air Force Institute of Technology,Technology Development,,443.0,886.0,0.03149,98.0,5.0,,,,US Air Force Institute of Technology,USA,Vandenberg AFB,Atlas 5,,2.09963109,TRUE,FALSE
UK/ESA,"INMARSAT, Ltd./European Space Agency",Communications/Technology Development,,35786.0,35787.0,1E-05,1436.09,6650.0,3370.0,12000.0,15.0,Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA,0.43633231300000000,0.000349066,FALSE,TRUE
Algeria,Centre National des Techniques Spatiales (CNTS),Earth Observation,Sun-Synchronous,672.0,674.0,0.00014,98.2,130.0,,,5.0,EADS Astrium,France/UK/Germany/Spain,Sriharikota Launch Station,PSLV,,1.712167996,FALSE,FALSE
Brazil,Hispamar (subsidiary of Hispasat - Spain),Communications,,35776.0,35797.0,0.00025,1436.1,4545.0,2000.0,9500.0,15.0,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,-1.06499991,0.000698132,FALSE,TRUE
Spain,Hispasat,Communications,,35767.0,35805.0,0.00045,1436.08,5465.0,,15300.0,15.0,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5,-1.064650844,0.000523599,FALSE,TRUE
Spain,Hispasat,Communications,,35781.0,35791.0,0.00012000000000000000,1436.05,6265.0,2778.0,14000.0,15.0,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,-1.064650844,0.000523599,FALSE,TRUE
USA,SES (Socit Europenne des Satellites (SES)),Communications,,35772.0,35800.0,0.00033,1436.1,2783.0,1600.0,6500.0,15.0,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2A,-1.798038195,0.000523599,FALSE,TRUE
USA,SES (Socit Europenne des Satellites (SES)),Communications,,35775.0,35797.0,0.00026000000000000000,1436.09,2315.0,907.0,6500.0,15.0,Lockheed Martin,USA,Cape Canaveral,Atlas 2 AS,-2.355670891,0.000174533,FALSE,TRUE
USA,SES (Socit Europenne des Satellites (SES)),Communications,,35774.0,35797.0,0.00027,1436.07,2340.0,2316.0,6500.0,15.0,Lockheed Martin,USA,Cape Canaveral,Atlas 2 AS,-2.28515959,0.000698132,FALSE,TRUE
USA,SES (Socit Europenne des Satellites (SES)),Communications,,35777.0,35795.0,0.00021,1436.08,4200.0,,,15.0,Lockheed Martin,USA,Baikonur Cosmodrome,Proton M,-1.833293846,0.000698132,FALSE,TRUE
USA,SES (Socit Europenne des Satellites (SES)),Communications,,35780.0,35793.0,0.00015,1436.1,4312.0,,,15.0,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5,-1.483180798,0.000349066,FALSE,TRUE
USA,SES (Socit Europenne des Satellites (SES)),Communications,,35773.0,35800.0,0.00032,1436.1,2081.0,918.0,,15.0,Lockheed Martin Missiles and Space,USA,Guiana Space Center,Ariane 5,-1.832072116,0.001047198,FALSE,TRUE
USA,SES (Socit Europenne des Satellites (SES)),Communications,,35774.0,35798.0,0.00028,1436.1,2648.0,1600.0,6500.0,15.0,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44L,-1.762433479,0.000872665,FALSE,TRUE
USA,SES (Socit Europenne des Satellites (SES)),Communications,,35778.0,35793.0,0.00018,1436.1,2500.0,,5000.0,15.0,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,-2.1792181040000000,0.052359878,FALSE,TRUE
USA,SES (Socit Europenne des Satellites (SES)),Communications,,35777.0,35795.0,0.00021,1436.08,2845.0,1600.0,6500.0,15.0,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2 AS,-1.5177383180000000,0.000349066,FALSE,TRUE
USA,SES (Socit Europenne des Satellites (SES)),Communications,,35781.0,35791.0,0.00012000000000000000,1436.1,3909.0,2500.0,,15.0,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44LP,-1.7626080120000000,0.000174533,FALSE,TRUE
USA,SES (Socit Europenne des Satellites (SES)),Communications,,35777.0,35796.0,0.00023000000000000000,1436.1,1698.0,769.0,,15.0,Alcatel Space Industries,France,Guiana Space Center,Ariane 44L,-1.377588379,0.000523599,FALSE,TRUE
USA,SES (Socit Europenne des Satellites (SES)),Communications,,35778.0,35795.0,0.0002,1436.12,3901.0,2500.0,,15.0,Lockheed Martin Commercial Space Systems,USA,Baikonur Cosmodrome,Proton K,-1.256287996,0.000872665,FALSE,TRUE
USA,SES (Socit Europenne des Satellites (SES)),Communications,,35773.0,35798.0,0.0003,1436.08,1935.0,912.0,6500.0,15.0,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5G,-2.3900538780000000,0.000174533,FALSE,TRUE
USA,SES (Socit Europenne des Satellites (SES)),Communications,,35773.0,35798.0,0.0003,1436.07,2015.0,919.0,3300.0,15.0,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5G,-2.42600766,0.000523599,FALSE,TRUE
USA,SES (Socit Europenne des Satellites (SES)),Communications,,35773.0,35798.0,0.0003,1436.08,4100.0,2000.0,10000.0,15.0,Alcatel Space Industries,France,Baikonur Cosmodrome,Proton K,-1.447750615,0.000872665,FALSE,TRUE
Israel,Israel Aircraft Industries,Communications,,35778.0,35794.0,0.00019000000000000000,1436.08,1400.0,646.0,1900.0,12.0,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Soyuz-Fregat,-0.069464104,0.000872665,TRUE,TRUE
Israel,Space-Communication Ltd,Communications,,35783.0,35789.0,7E-05,1436.1,,,,12.0,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 3SLB,-0.069638637,0.000698132,TRUE,TRUE
Israel,Space-Communication Ltd,Communications,,35633.0,35796.0,0.0019400000000000000,1432.0,,,,12.0,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 2SB,1.134464014,0.000174533,TRUE,TRUE
Israel,Space-Communication Ltd,Communications,,35595.0,36007.0,0.00488,1436.08,1600.0,,,15.0,OAO ISS,Russia,Baikonur Cosmodrome,Proton M,0.296705973,0.001570796,TRUE,TRUE
USA,Amsat-NA,Amateur Radio,Sun-Synchronous,1440.0,1459.0,0.00121,114.9,29.0,,,,Amsat-NA,USA,Vandenberg AFB,Delta 2310,,1.7697638620000000,FALSE,FALSE
Canada,"Telesat Canada Ltd. (BCE, Inc.)",Communications,,35778.0,35793.0,0.00018,1436.08,4710.0,2950.0,15500.0,15.0,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,-1.872214689,0.000349066,FALSE,TRUE
Canada,"Telesat Canada Ltd. (BCE, Inc.)",Communications,,35777.0,35795.0,0.00021,1436.1,4500.0,,10000.0,15.0,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,-1.8727382870000000,0.000349066,FALSE,TRUE
Canada,"Telesat Canada Ltd. (BCE, Inc.)",Communications,,35781.0,35790.0,0.00011,1436.08,5910.0,3805.0,16000.0,15.0,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5,-1.9385372000000000,0.000174533,FALSE,TRUE
Canada,"Telesat Canada Ltd. (BCE, Inc.)",Communications,,35778.0,35794.0,0.00019000000000000000,1436.1,4715.0,,17500.0,15.0,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,-2.071531289,0.000174533,FALSE,TRUE
Canada,"Telesat Canada Ltd. (BCE, Inc.)",Communications,,35773.0,35799.0,0.00031,1436.08,4905.0,,17500.0,15.0,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,-1.8727382870000000,0.000174533,FALSE,TRUE
Argentina,Aprize Satellites Argentina,Communications (experimental),Sun-Synchronous,696.0,764.0,0.00479,99.4,12.0,12.0,,,Aprize Satellite,Argentina,Baikonur Cosmodrome,Dnepr 1,,1.7104226670000000,FALSE,FALSE
Argentina,Aprize Satellites Argentina,Communications (experimental),Sun-Synchronous,694.0,850.0,0.010920000000000000,100.3,12.0,12.0,,,Aprize Satellite,Argentina,Baikonur Cosmodrome,Dnepr 1,,1.713913325,FALSE,FALSE
USA/Argentina,Aprize Satellite/Latin Trade Satellite,Communications/Maritime Tracking,Sun-Synchronous,563.0,572.0,0.00065,97.0,12.0,12.0,,,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr,,1.712167996,FALSE,FALSE
USA/Argentina,Aprize Satellite/Latin Trade Satellite,Communications/Maritime Tracking,Sun-Synchronous,604.0,674.0,0.00499,97.5,12.0,12.0,,,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr,,1.712167996,FALSE,FALSE
USA/Argentina,Aprize Satellite/Latin Trade Satellite,Communications/Maritime Tracking,Sun-Synchronous,610.0,694.0,0.00598,97.8,12.0,12.0,,,SpaceQuest,USA,Dombarovsky Launch Facility,Dnepr 1,,1.713913325,FALSE,FALSE
USA/Argentina,Aprize Satellite/Latin Trade Satellite,Communications/Maritime Tracking,Sun-Synchronous,627.0,694.0,0.00476,98.0,12.0,12.0,,,SpaceQuest,USA,Dombarovsky Launch Facility,Dnepr 1,,1.713913325,FALSE,FALSE
USA/Argentina,Aprize Satellite/Latin Trade Satellite,Communications/Maritime Tracking,Sun-Synchronous,594.0,653.0,0.004220000000000000,97.17,12.0,12.0,,,SpaceQuest,USA,Dombarovsky Launch Facility,Dnepr,,1.7069320080000000,FALSE,FALSE
USA/Argentina,Aprize Satellite/Latin Trade Satellite,Communications/Maritime Tracking,Sun-Synchronous,594.0,669.0,0.00536,97.99,12.0,12.0,,,SpaceQuest,USA,Dombarovsky Launch Facility,Dnepr,,1.7069320080000000,FALSE,FALSE
China (PR),APT Satellite Holdings Ltd.,Communications,,35782.0,35795.0,0.00015,1436.21,1383.0,726.0,,,Hughes,USA,Xichang Satellite Launch Center,Long March 3,2.47732034,0.113446401,FALSE,TRUE
China (PR),APT Satellite Holdings Ltd.,Communications,,35779.0,35790.0,0.00013000000000000000,1436.03,1383.0,726.0,,,Hughes,USA,Xichang Satellite Launch Center,Long March 3,0.8983209660000000,0.102799893,FALSE,TRUE
China (PR),APT Satellite Holdings Ltd.,Communications,,35778.0,35794.0,0.00019000000000000000,1436.08,4680.0,,,,Alcatel Space Industries,France,Xichang Satellite Launch Center,Long March 3B,2.339439329,0.000174533,FALSE,TRUE
China (PR),APT Satellite Holdings Ltd.,Communications,,35864.0,35874.0,0.00012000000000000000,1440.31,5054.0,,,15.0,Thales Alenia Space,France/Italy,Xichang Satellite Launch Center,Long March 3B,1.335176878,0.000523599,FALSE,TRUE
Multinational,Arab Satellite Communications Org. (ASCO),Communications,,35766.0,35805.0,0.00046000000000000000,1436.06,4630.0,,,15.0,Astrium/Thales Alenia Space,France,Guiana Space Center,Ariane 5 ECA,0.34889131700000000,0.001047198,FALSE,TRUE
Multinational,Arab Satellite Communications Org. (ASCO),Communications,,35778.0,35794.0,0.00019000000000000000,1436.09,3600.0,1700.0,8600.0,12.0,Lockheed Martin/Spar Aerospace,USA/Canada,Baikonur Cosmodrome,Proton D,0.776671517,0.000174533,FALSE,TRUE
USA,NanoSatisfi Inc.,Technology Development,Sun-Synchronous,410.0,415.0,0.00019000000000000000,92.81,1.0,,,0.25,"NanoSatisfi, Inc.",USA,ISS,JSSOD,,0.901462559,FALSE,FALSE
ESA,European Space Agency,Communications/Research,,35771.0,35803.0,0.00038000000000000000,1436.12,3105.0,1500.0,4600.0,10.0,Alenia Spazio,Italy,Guiana Space Center,Ariane 5G,0.37280232800000000,0.12269664600000000,FALSE,TRUE
China (PR),Asia Satellite Telecommunications Co. Ltd. (SES [Socit Europenne des Satellites (SES)]),Communications,,35780.0,35792.0,0.00014,1436.07,3480.0,2500.0,10000.0,15.0,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Proton K,1.842195025,0.000349066,FALSE,TRUE
China (PR),Asia Satellite Telecommunications Co. Ltd. (SES [Socit Europenne des Satellites (SES)]),Communications,,35784.0,35789.0,6E-05,1436.1,4137.0,2275.0,9500.0,15.0,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 3B,2.133490478,0.0,FALSE,TRUE
China (PR),Asia Satellite Telecommunications Co. Ltd. (SES [Socit Europenne des Satellites (SES)]),Communications,,35778.0,35795.0,0.0002,1436.11,3760.0,,,15.0,Space Systems/Loral,USA,Baikonur Cosmodrome,Breeze M,1.754055898,0.0,FALSE,TRUE
China (PR),Asia Satellite Telecommunications Co. Ltd. (SES [Socit Europenne des Satellites (SES)]),Communications,,35782.0,35793.0,0.00013000000000000000,1436.17,3813.0,,,15.0,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,1.841322361,0.000349066,FALSE,TRUE
USA,1Worldspace,Communications,,35773.0,35801.0,0.00033,1436.15,2775.0,1530.0,5600.0,15.0,Alcatel Space Industries,France,Guiana Space Center,Ariane 5G,1.832072116,0.000349066,FALSE,TRUE
Luxembourg,SES (Socit Europenne des Satellites (SES)),Communications,,35776.0,35795.0,0.00023000000000000000,1436.08,2924.0,1700.0,3300.0,15.0,Hughes,USA,Guiana Space Center,Ariane 42P,0.5445427270000000,0.020071286,FALSE,TRUE
Luxembourg,SES (Socit Europenne des Satellites (SES)),Communications,,35774.0,35799.0,0.0003,1436.13,3014.0,1800.0,4150.0,14.0,Hughes,USA,Guiana Space Center,Ariane 42L,0.409628775,0.000698132,FALSE,TRUE
Luxembourg,SES (Socit Europenne des Satellites (SES)),Communications,,35778.0,35797.0,0.00023000000000000000,1436.15,3010.0,1800.0,4400.0,15.0,Hughes,USA,Baikonur Cosmodrome,Proton K,0.335452282,0.000523599,FALSE,TRUE
Luxembourg,SES (Socit Europenne des Satellites (SES)),Communications,,35780.0,35791.0,0.00013000000000000000,1436.08,3379.0,3010.0,6600.0,15.0,Hughes,USA,Baikonur Cosmodrome,Proton K,0.33580134800000000,0.000698132,FALSE,TRUE
Luxembourg,SES (Socit Europenne des Satellites (SES)),Communications,,35776.0,35794.0,0.00021,1436.04,3690.0,2300.0,6600.0,15.0,Hughes,USA,Baikonur Cosmodrome,Proton D,0.33510321600000000,0.001047198,FALSE,TRUE
Luxembourg,SES (Socit Europenne des Satellites (SES)),Communications,,35766.0,35807.0,0.00049,1436.1,4332.0,,12000.0,15.0,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5,0.334405085,0.0013962630000000000,FALSE,TRUE
Luxembourg,SES (Socit Europenne des Satellites (SES)),Communications,,35772.0,35798.0,0.00031,1436.03,4500.0,,13000.0,15.0,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA,0.336848546,0.000872665,FALSE,TRUE
Luxembourg,SES (Socit Europenne des Satellites (SES)),Communications,,35804.0,35852.0,0.00057,1438.2,5345.0,,9900.0,15.0,EADS Astrium,France,Baikonur Cosmodrome,Proton M,0.33510321600000000,0.002443461,FALSE,TRUE
Luxembourg,SES (Socit Europenne des Satellites (SES)),Communications,,35715.0,35780.0,0.0007700000000000000,1434.1,5350.0,,,15.0,EADS Astrium,France,Guiana Space Center,Ariane 5 ECA,0.492182849,0.002094395,FALSE,TRUE
Luxembourg,SES (Socit Europenne des Satellites (SES)),Communications,,35776.0,35797.0,0.00025,1436.12,3635.0,2500.0,7000.0,15.0,Hughes,USA,Baikonur Cosmodrome,Proton K,0.491484717,0.0013962630000000000,FALSE,TRUE
Luxembourg,SES (Socit Europenne des Satellites (SES)),Communications,,35772.0,35801.0,0.00034000000000000000,1436.11,3315.0,1400.0,7800.0,14.0,Astrium,France/UK/Germany,Guiana Space Center,Ariane 5G,0.492531915,0.00122173,FALSE,TRUE
Luxembourg,SES (Socit Europenne des Satellites (SES)),Communications,,35768.0,35804.0,0.00043,1436.12,3643.0,2000.0,7000.0,15.0,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Proton K,0.492357382,0.00122173,FALSE,TRUE
Luxembourg,SES (Socit Europenne des Satellites (SES)),Communications,,35770.0,35802.0,0.00038000000000000000,1436.1,1420.0,700.0,1500.0,15.0,Hughes,USA,Guiana Space Center,Ariane 5G,0.49113565200000000,0.00122173,FALSE,TRUE
Luxembourg,SES (Socit Europenne des Satellites (SES)),Communications,,35781.0,35793.0,0.00014,1436.12,6052.0,,13000.0,15.0,EADS Astrium,France,Baikonur Cosmodrome,Proton M,0.492182849,0.001919862,FALSE,TRUE
Luxembourg,SES (Socit Europenne des Satellites (SES)),Communications,,35777.0,35795.0,0.00021,1436.07,6000.0,2660.0,,15.0,EADS Astrium,France/UK/Germany,Guiana Space Center,Ariane 5 ECA,0.492182849,0.001047198,FALSE,TRUE
Luxembourg,SES (Socit Europenne des Satellites (SES)),Communications,,35770.0,35804.0,0.0004,1436.07,1500.0,750.0,1500.0,10.0,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,0.409803308,0.001047198,FALSE,TRUE
Luxembourg,SES (Socit Europenne des Satellites (SES)),Communications,,35768.0,35806.0,0.00045,1436.11,5471.0,,10000.0,15.0,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA,0.410152374,0.0013962630000000000,FALSE,TRUE
Azerbaijan,Ministry of Communications and Information Technologies,Communications,,35778.0,35794.0,0.00019000000000000000,1436.08,3250.0,1438.0,,15.0,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,0.802851456,0.000698132,FALSE,TRUE
Pakistan,Pakistan Space and Upper Atmosphere Research Commission (SUPARCO),Remote Sensing/Technology Development,Sun-Synchronous,984.0,1014.0,0.0020400000000000000,105.1,70.0,,,2.0,Pakistan Space and Upper Atmosphere Research Commission (SUPARCO),Pakistan,Baikonur Cosmodrome,Zenit 2,,1.731366618,TRUE,FALSE
Multinational,Arab Satellite Communications Org. (ASCO),Communications,,35780.0,35791.0,0.00013000000000000000,1436.06,3304.0,1487.0,,15.0,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,0.454134671,0.00122173,FALSE,TRUE
Multinational,Arab Satellite Communications Org. (ASCO),Communications,,35834.0,35883.0,0.00058,1439.76,5420.0,,,15.0,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton,0.453785606,0.001047198,FALSE,TRUE
Multinational,Arab Satellite Communications Org. (ASCO),Communications,,35605.0,35623.0,0.00021,1427.27,4940.0,,,15.0,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA,0.532325422,0.000523599,FALSE,TRUE
Multinational,Arab Satellite Communications Org. (ASCO),Communications,,35768.0,35805.0,0.00044,1436.1,3400.0,,6000.0,15.0,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA,0.45518186900000000,0.000872665,FALSE,TRUE
Germany,Institut fr Luft- und Raumfahrt,Technology Development,Sun-Synchronous,709.0,718.0,0.00064,99.0,1.0,,,1.0,TechnischeUniversittBerlin,Germany,Sriharikota Launch Station,PSLV,,1.715658655,FALSE,FALSE
Germany,Institut fr Luft- und Raumfahrt,Technology Development,Sun-Synchronous,555.0,579.0,0.00173,96.01,1.0,,,1.0,TechnischeUniversittBerlin,Germany,Baikonur Cosmodrome,Soyuz 2-1A,,1.130973355,FALSE,FALSE
Germany,Institut fr Luft- und Raumfahrt,Technology Development,Sun-Synchronous,554.0,581.0,0.00195,96.01,1.0,,,1.0,TechnischeUniversittBerlin,Germany,Baikonur Cosmodrome,Soyuz 2-1A,,1.130973355,FALSE,FALSE
China (PR),Beijing Landview Mapping Information Technology Co. Ltd (BLMIT),Earth Observation,Sun-Synchronous,681.0,703.0,0.00156,98.6,166.0,155.0,50.0,7.0,Tsinghua University/University of Surrey,China (PR)/United Kingdom,Plesetsk Cosmodrome,Kosmos 3M,,1.7086773380000000,FALSE,FALSE
Germany,Institute of Space Sensor Technology and Planetary Exploration,Remote Sensing/Technology Development,Sun-Synchronous,500.0,521.0,0.0015300000000000000,94.8,92.0,77.0,120.0,1.5,Deutsches Zentrum fr Luft- und Raumfahrt,Germany,Satish Dhawan Space Center,PSLV C3,,1.7086773380000000,FALSE,FALSE
Belarus,National Academy of Sciences,Remote Sensing,,503.0,507.0,0.00029,94.7,400.0,110.0,300.0,5.0,NPO VNIIEM,Russia,Baikonur Cosmodrome,Soyuz-Fregat,,1.7016960210000000,FALSE,FALSE
Russia,Russian Satellite Communications Company (Intersputnik),Communications,,35777.0,35795.0,0.00021,1436.09,1452.0,620.0,1500.0,12.0,Hughes Space and Communications,USA,Cape Canaveral,Delta 2,0.976337184,0.000523599,FALSE,TRUE
Brazil,Star One (SES [Socit Europenne des Satellites (SES)]),Communications,,35776.0,35797.0,0.00025,1436.11,1780.0,1050.0,1800.0,12.0,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44LP,-1.186823891,0.014660766,TRUE,TRUE
